"id","glytoucan","taxon","resource","resource_id"
"56","G71142DF","362723","carbbank","32012"
"7144","G07912CK","82095","carbbank","32014"
"7321","G15764TJ","82095","carbbank","32015"
"7321","G15764TJ","82095","carbbank","32016"
"152","G46317GO","63476","carbbank","32017"
"12804","G40044SV","492004","carbbank","32018"
"5309","G76719IC","287","carbbank","3203"
"15635","G19059PI","9913","carbbank","32030"
"132","G98544DH","9913","carbbank","32041"
"132","G98544DH","9606","carbbank","32041"
"56","G71142DF","93934","carbbank","32044"
"115","G65889KE","93934","carbbank","32045"
"118","G84224TW","93934","carbbank","32046"
"8998","G62763GO","93934","carbbank","32047"
"120","G00059MO","93934","carbbank","32048"
"599","G06239NA","93934","carbbank","32049"
"16363","G81471LE","287","carbbank","3205"
"133","G90562PB","93934","carbbank","32050"
"9189","G88692PI","93934","carbbank","32051"
"1299","G80062GG","93934","carbbank","32052"
"600","G72002FC","93934","carbbank","32053"
"6176","G11708TJ","358","carbbank","3206"
"140","G79389NT","10090","carbbank","32065"
"124","G48558GR","10090","carbbank","32066"
"622","G03277YI","10090","carbbank","32067"
"2350","G64183CB","10090","carbbank","32068"
"376","G46677TE","10090","carbbank","32069"
"2352","G45714BQ","10090","carbbank","32070"
"146","G91237TK","10114","carbbank","32080"
"133","G90562PB","9606","carbbank","321"
"33302","G33895QU","584","carbbank","32105"
"3406","G59780KR","584","carbbank","32108"
"11143","G97790FH","583","carbbank","32112"
"33394","G00108FS","102862","carbbank","32113"
"16365","G01617IR","102862","carbbank","32115"
"33392","G37913FT","584","carbbank","32117"
"33303","G43009QQ","102862","carbbank","32120"
"7996","G92266BR","585","carbbank","32123"
"3401","G13943ZK","584","carbbank","32128"
"33412","G64669TH","584","carbbank","32129"
"33305","G40609VS","584","carbbank","32130"
"3403","G14227DY","584","carbbank","32131"
"33393","G75925LI","584","carbbank","32132"
"3402","G89408HS","102862","carbbank","32134"
"3405","G53465NM","102862","carbbank","32135"
"33306","G31697PV","102862","carbbank","32136"
"583","G44941AO","585","carbbank","32137"
"5649","G99900KO","603","carbbank","32138"
"33322","G15111QR","562","carbbank","32139"
"33304","G77548AK","585","carbbank","32140"
"33370","G28886JF","228","carbbank","32141"
"11147","G97203EV","5207","carbbank","32152"
"11148","G21306BV","5207","carbbank","32153"
"11149","G18295ZX","5207","carbbank","32154"
"15801","G17459UD","416296","carbbank","32162"
"15801","G17459UD","137221","carbbank","32162"
"175","G00027PJ","416296","carbbank","32164"
"175","G00027PJ","137221","carbbank","32164"
"11156","G72384RV","1313","carbbank","32165"
"16366","G88343PH","1313","carbbank","32170"
"4100","G09494DM","1313","carbbank","32171"
"11157","G81735HL","1313","carbbank","32172"
"11158","G28410PY","1313","carbbank","32173"
"835","G42922EC","4513","carbbank","32191"
"16367","G07954WM","4513","carbbank","32193"
"2465","G49118ZT","10114","carbbank","322"
"3522","G75845RS","622","carbbank","32200"
"12795","G60449VW","70803","carbbank","32201"
"12795","G60449VW","562","carbbank","32201"
"12796","G10513ZV","70803","carbbank","32202"
"12796","G10513ZV","562","carbbank","32202"
"2473","G01534TU","9606","carbbank","32203"
"3784","G85923WX","167828","carbbank","32211"
"3784","G85923WX","6351","carbbank","32211"
"4037","G44547MV","7629","carbbank","32225"
"4037","G44547MV","7625","carbbank","32225"
"4446","G08371CD","9606","carbbank","32226"
"534","G01614ZM","9606","carbbank","32227"
"534","G01614ZM","9606","carbbank","32227"
"534","G01614ZM","9606","carbbank","32227"
"2741","G83179DA","82095","carbbank","32229"
"2741","G83179DA","82095","carbbank","32230"
"6766","G67636XI","82095","carbbank","32231"
"6766","G67636XI","82095","carbbank","32232"
"1937","G74556OQ","82095","carbbank","32233"
